text,label
Scientists discover new treatment for cancer using gene therapy,REAL
Tech company announces breakthrough in quantum computing,REAL
5G towers causing widespread illness and death government denies,FAKE
Sunscreen actually causes cancer big pharma conspiracy exposed,FAKE
Central bank implements new monetary policy measures,REAL
Magnetic nanoparticles injected during sleep to track population,FAKE
Scientists confirm earth is actually flat NASA conspiracy revealed,FAKE
Satellites are actually government surveillance drones fake space,FAKE
Olympic athletes break world records at summer games,REAL
Hidden planet Nibiru on collision course with Earth scientists silent,FAKE
Fluoride in water lowering IQ to create controllable population,FAKE
Quantum healing frequencies can cure any disease doctors hate this,FAKE
Aliens have landed in Nevada and government is covering it up,FAKE
Federal Reserve raises interest rates to combat inflation,REAL
Secret cloning facility discovered under major government building,FAKE
Electric vehicle sales surge as battery costs decline,REAL
Supreme Court rules on landmark civil rights case,REAL
World Health Organization reports decline in malaria cases,REAL
Chemtrails are weather control program targeting population,FAKE
New study shows benefits of Mediterranean diet for heart health,REAL
Secret underground tunnels connect major cities for elite travel,FAKE
New satellite data reveals extent of Arctic ice loss,REAL
Secret society controls world economy from underground bunker,FAKE
Government weather machine causes natural disasters on purpose,FAKE
New archaeological discovery sheds light on ancient civilization,REAL
Major political figure arrested for crimes media refuses to cover,FAKE
UN report warns about accelerating biodiversity loss,REAL
Scientists confirm detection of gravitational waves,REAL
International Space Station receives new crew members,REAL
Government secretly putting mind control chemicals in tap water,FAKE
Government releases economic growth statistics for quarter,REAL
Major earthquake strikes coastal region causing damage,REAL
Technology giant faces antitrust investigation,REAL
Ancient alien technology discovered in Antarctica kept secret,FAKE
President signs infrastructure bill into law,REAL
Bill Gates microchipping people through COVID vaccines secret plan,FAKE
Birds are not real they are government surveillance drones,FAKE
Deep state operatives planning massive false flag operation soon,FAKE
Celebrity found to be reptilian shapeshifter in shocking video,FAKE
Health officials report progress in fighting antibiotic resistance,REAL
Politicians drinking adrenochrome harvested from children exclusive,FAKE
NASA successfully launches new Mars rover mission,REAL
University study links social media use to mental health outcomes,REAL
Global leaders meet to discuss climate change solutions,REAL
Ancient cure for cancer found in common household spice suppressed,FAKE
Moon landing was staged in Hollywood studio new evidence proves,FAKE
Miracle cure for all diseases suppressed by big pharma companies,FAKE
International court issues ruling on territorial dispute,REAL
Hollywood elites running human trafficking ring from pizza restaurant,FAKE
Scientists publish research on COVID-19 vaccine effectiveness,REAL
City announces new public transportation expansion plans,REAL
Medical researchers announce breakthrough in Alzheimer's treatment,REAL
Secret ingredient in fast food causes addiction and mind control,FAKE
Trade agreement signed between major economic powers,REAL
Stock markets reach record highs amid economic recovery,REAL
New world order plans to eliminate 90 percent of population revealed,FAKE
Researchers develop biodegradable plastic alternative,REAL
Major bank announces plans to invest in renewable energy,REAL
Time traveler from future warns about upcoming catastrophic event,FAKE
Ancient pyramids powered by free energy technology government hiding,FAKE
